,fecha_hora,altura,t_minutos,i_minutos,es_pleamar
272,10/05/21 14:04:00,0.55,101503.0,452.0,False
273,10/05/21 19:11:00,1.31,101810.0,307.0,True
274,11/05/21 02:23:00,0.59,102242.0,432.0,False
275,11/05/21 07:15:00,1.34,102534.0,292.0,True
276,11/05/21 14:34:00,0.61,102973.0,439.0,False
277,11/05/21 19:39:00,1.37,103278.0,305.0,True
278,12/05/21 02:58:00,0.55,103717.0,439.0,False
279,12/05/21 07:57:00,1.28,104016.0,299.0,True
280,12/05/21 14:56:00,0.66,104435.0,419.0,False
281,12/05/21 20:05:00,1.43,104744.0,309.0,True
282,13/05/21 03:31:00,0.52,105190.0,446.0,False
283,13/05/21 08:39:00,1.22,105498.0,308.0,True
284,13/05/21 15:14:00,0.7,105893.0,395.0,False
285,13/05/21 20:30:00,1.48,106209.0,316.0,True
286,14/05/21 04:06:00,0.5,106665.0,456.0,False
287,14/05/21 09:21:00,1.16,106980.0,315.0,True
288,14/05/21 15:34:00,0.72,107353.0,373.0,False
289,14/05/21 20:55:00,1.53,107674.0,321.0,True
290,15/05/21 04:46:00,0.48,108145.0,471.0,False
291,15/05/21 10:04:00,1.1,108463.0,318.0,True
292,15/05/21 15:56:00,0.74,108815.0,352.0,False
293,15/05/21 21:22:00,1.57,109141.0,326.0,True
294,16/05/21 05:29:00,0.46,109628.0,487.0,False
295,16/05/21 10:51:00,1.05,109950.0,322.0,True
296,16/05/21 16:17:00,0.75,110276.0,326.0,False
297,16/05/21 21:52:00,1.59,110611.0,335.0,True
298,17/05/21 06:16:00,0.44,111115.0,504.0,False
299,17/05/21 11:45:00,1.02,111444.0,329.0,True
300,17/05/21 16:40:00,0.76,111739.0,295.0,False
301,17/05/21 22:27:00,1.6,112086.0,347.0,True
302,18/05/21 07:04:00,0.42,112603.0,517.0,False
303,18/05/21 12:37:00,1.0,112936.0,333.0,True
304,18/05/21 17:09:00,0.76,113208.0,272.0,False
305,18/05/21 23:08:00,1.59,113567.0,359.0,True
306,19/05/21 07:52:00,0.4,114091.0,524.0,False
307,19/05/21 13:26:00,1.0,114425.0,334.0,True
308,19/05/21 17:47:00,0.77,114686.0,261.0,False
309,19/05/21 23:58:00,1.56,115057.0,371.0,True
310,20/05/21 08:39:00,0.39,115578.0,521.0,False
311,20/05/21 14:12:00,1.02,115911.0,333.0,True
312,20/05/21 18:37:00,0.77,116176.0,265.0,False
313,21/05/21 01:00:00,1.52,116559.0,383.0,True
314,21/05/21 09:26:00,0.39,117065.0,506.0,False
315,21/05/21 14:59:00,1.06,117398.0,333.0,True
316,21/05/21 19:49:00,0.77,117688.0,290.0,False
